Name,Category,Description,GitHub URL,Stars,Native/Plugin,Language
freeze,Code Images,Generate images from code,https://github.com/charmbracelet/freeze,3500+,Native,Go
slides,Presentations,Terminal presentations,https://github.com/maaslalani/slides,10000+,Native,Go
mdp,Presentations,Markdown presentation,https://github.com/visit1985/mdp,5000+,Native,C
lookatme,Presentations,Terminal markdown presenter,https://github.com/d0c-s4vage/lookatme,2100+,Native,Python
sent,Presentations,Simple plaintext presentations,https://tools.suckless.org/sent/,N/A,Native,C
patat,Presentations,Presentations using Pandoc,https://github.com/jaspervdj/patat,2200+,Native,Haskell
pastel,Colors,Color manipulation CLI,https://github.com/sharkdp/pastel,5000+,Native,Rust
vivid,Colors,LS_COLORS generator,https://github.com/sharkdp/vivid,2000+,Native,Rust
fortune,Fun,Random quotes,https://github.com/shlomif/fortune-mod,500+,Native,C
cowsay,Fun,Speaking cow,https://github.com/piuccio/cowsay,1500+,Native,JavaScript
figlet,Fun,ASCII art text,https://github.com/cmatsuoka/figlet,1400+,Native,C
lolcat,Fun,Rainbow text,https://github.com/busyloop/lolcat,6200+,Native,Ruby
toilet,Fun,ASCII art generator,https://github.com/cacalabs/toilet,400+,Native,C
pipes.sh,Fun,Animated pipes,https://github.com/pipeseroni/pipes.sh,2500+,Native,Shell
cmatrix,Fun,Matrix rain effect,https://github.com/abishekvashok/cmatrix,4200+,Native,C
sl,Fun,Steam locomotive,https://github.com/mtoyoda/sl,3700+,Native,C
nyancat,Fun,Nyan cat in terminal,https://github.com/klange/nyancat,3000+,Native,C
asciiquarium,Fun,ASCII aquarium,https://github.com/cmatsuoka/asciiquarium,3500+,Native,Perl
hollywood,Fun,Hacker terminal,https://github.com/dustinkirkland/hollywood,1800+,Native,Shell
no-more-secrets,Fun,Decryption effect,https://github.com/bartobri/no-more-secrets,5700+,Native,C
genact,Fun,Fake activity generator,https://github.com/svenstaro/genact,9500+,Native,Rust
thefuck,Productivity,Correct previous commands,https://github.com/nvbn/thefuck,86000+,Native,Python
tldr++,Documentation,Interactive tldr client,https://github.com/isacikgoz/tldr,1000+,Native,Go
eg,Documentation,Useful examples,https://github.com/srsudar/eg,700+,Native,Python
cheat.sh,Documentation,Unified cheat sheet,https://github.com/chubin/cheat.sh,38500+,Native,Python
howdoi,Documentation,Stack Overflow from CLI,https://github.com/gleitz/howdoi,10500+,Native,Python
so,Documentation,Stack Overflow terminal,https://github.com/samtay/so,600+,Native,Rust
explain,Documentation,Shell command explainer,https://github.com/dthree/explain,100+,Native,JavaScript
km,Documentation,Knowledge base manager,https://github.com/gnebbia/kb,3200+,Native,Python
buku,Bookmarks,Browser bookmark manager,https://github.com/jarun/buku,6500+,Native,Python
ddgr,Search,DuckDuckGo from terminal,https://github.com/jarun/ddgr,3000+,Native,Python
googler,Search,Google from terminal,https://github.com/jarun/googler,6100+,Native,Python
s,Search,Web search from terminal,https://github.com/zquestz/s,2400+,Native,Go
tuxi,Search,Google search scraper,https://github.com/Bugswriter/tuxi,1800+,Native,Shell
xdg-ninja,Cleanup,XDG spec compliance checker,https://github.com/b3nj5m1n/xdg-ninja,2500+,Native,Shell
rmlint,Cleanup,Find redundant data,https://github.com/sahib/rmlint,1900+,Native,C
fdupes,Cleanup,Find duplicate files,https://github.com/adrianlopezroche/fdupes,2500+,Native,C
jdupes,Cleanup,Fast duplicate finder,https://github.com/jbruchon/jdupes,1500+,Native,C
dua,Disk Usage,Disk usage analyzer,https://github.com/Byron/dua-cli,4000+,Native,Rust
dutree,Disk Usage,Disk usage visualizer,https://github.com/nachoparker/dutree,700+,Native,Rust
sn0int,OSINT,Semi-automatic OSINT,https://github.com/kpcyrd/sn0int,2000+,Native,Rust
amass,OSINT,Network mapping,https://github.com/owasp-amass/amass,12500+,Native,Go
sherlock,OSINT,Username hunter,https://github.com/sherlock-project/sherlock,60000+,Native,Python
maigret,OSINT,Username collector,https://github.com/soxoj/maigret,11000+,Native,Python
httpx,Web,Fast HTTP toolkit,https://github.com/projectdiscovery/httpx,8000+,Native,Go
subfinder,Web,Subdomain discovery,https://github.com/projectdiscovery/subfinder,10500+,Native,Go
nuclei,Security,Vulnerability scanner,https://github.com/projectdiscovery/nuclei,21000+,Native,Go
nmap,Network,Network scanner,https://github.com/nmap/nmap,10500+,Native,C
masscan,Network,Fast port scanner,https://github.com/robertdavidgraham/masscan,24000+,Native,C
rustscan,Network,Fast port scanner,https://github.com/RustScan/RustScan,15000+,Native,Rust
tcpdump,Network,Packet analyzer,https://www.tcpdump.org/,N/A,Native,C
wireshark,Network,Network analyzer (tshark CLI),https://www.wireshark.org/,N/A,Native,C
mtr,Network,Network diagnostic,https://github.com/traviscross/mtr,2800+,Native,C
iperf,Network,Network performance,https://github.com/esnet/iperf,7000+,Native,C
speedtest-cli,Network,Speed test,https://github.com/sivel/speedtest-cli,13500+,Native,Python
fast,Network,Netflix speed test,https://github.com/Netflix/fast,1000+,Native,Go
dog,DNS,DNS client,https://github.com/ogham/dog,6200+,Native,Rust
doggo,DNS,DNS client,https://github.com/mr-karan/doggo,3000+,Native,Go
dig,DNS,DNS lookup (bind-tools),https://www.isc.org/bind/,N/A,Native,C
whois,Network,WHOIS client,N/A,N/A,Native,C
ssh,Remote,OpenSSH client,https://www.openssh.com/,N/A,Native,C
mosh,Remote,Mobile shell,https://github.com/mobile-shell/mosh,12500+,Native,C++
eternal-terminal,Remote,Remote shell with reconnect,https://github.com/MisterTea/EternalTerminal,2800+,Native,C++
sshfs,Remote,Mount remote filesystems,https://github.com/libfuse/sshfs,5800+,Native,C
sshuttle,VPN,SSH-based VPN,https://github.com/sshuttle/sshuttle,11500+,Native,Python
wireguard,VPN,WireGuard tools,https://github.com/WireGuard/wireguard-tools,900+,Native,C
tailscale,VPN,Tailscale CLI,https://github.com/tailscale/tailscale,20000+,Native,Go
wg-meshconf,VPN,WireGuard mesh config,https://github.com/k4yt3x/wg-meshconf,500+,Native,Python
openconnect,VPN,VPN client,https://github.com/openconnect/openconnect,1000+,Native,C
pueue,Process Manager,Task management daemon,https://github.com/Nukesor/pueue,5000+,Native,Rust
nq,Process Manager,Queue utility,https://github.com/chneukirchen/nq,2800+,Native,C
ts,Process Manager,Task spooler,https://viric.name/soft/ts/,N/A,Native,C
chronic,Process Manager,Run quietly unless fails,https://joeyh.name/code/moreutils/,N/A,Native,C
timeout,Process Manager,Run with time limit,https://www.gnu.org/software/coreutils/,N/A,Native,C
flock,Process Manager,File locking,https://www.gnu.org/software/coreutils/,N/A,Native,C
supervisor,Process Manager,Process control,https://github.com/Supervisor/supervisor,8500+,Native,Python
pm2,Process Manager,Node.js process manager,https://github.com/Unitech/pm2,41500+,Native,JavaScript
forever,Process Manager,CLI tool for node,https://github.com/foreversd/forever,13200+,Native,JavaScript
monit,Monitoring,Process monitoring,https://mmonit.com/monit/,N/A,Native,C
netdata,Monitoring,Infrastructure monitoring,https://github.com/netdata/netdata,73000+,Native,C
prometheus,Monitoring,Monitoring system,https://github.com/prometheus/prometheus,56500+,Native,Go
grafana,Monitoring,Observability platform,https://github.com/grafana/grafana,66000+,Native,Go/TypeScript
vector,Observability,Data pipeline,https://github.com/vectordotdev/vector,18500+,Native,Rust
loki,Logging,Log aggregation,https://github.com/grafana/loki,24500+,Native,Go
fluentd,Logging,Log collector,https://github.com/fluent/fluentd,12800+,Native,Ruby
logcli,Logging,Loki CLI,https://github.com/grafana/loki,24500+,Native,Go
stern,Logging,Multi-pod log tailing,https://github.com/stern/stern,7200+,Native,Go
kubetail,Logging,Kubernetes log tailing,https://github.com/johanhaleby/kubetail,3500+,Native,Shell
lnav,Logging,Advanced log viewer,https://github.com/tstack/lnav,7500+,Native,C++
multitail,Logging,View multiple logs,https://github.com/folkertvanheusden/multitail,700+,Native,C
grc,Logging,Generic colourizer,https://github.com/garabik/grc,2000+,Native,Python
ccze,Logging,Log colorizer,https://github.com/cornet/ccze,200+,Native,C
bat,Pager,Cat with wings (syntax highlight),https://github.com/sharkdp/bat,51000+,Native,Rust
moar,Pager,Nicely scrolling pager,https://github.com/walles/moar,2500+,Native,Go
most,Pager,Paging program,https://www.jedsoft.org/most/,N/A,Native,C
gping,Network,Ping with graph,https://github.com/orf/gping,11000+,Native,Rust
prettyping,Network,Pretty ping wrapper,https://github.com/denilsonsa/prettyping,2000+,Native,Shell
sampler,Dashboard,Terminal sampling,https://github.com/sqshq/sampler,12500+,Native,Go
dstat,Monitoring,Resource stats,https://github.com/dstat-real/dstat,1000+,Native,Python
nmon,Monitoring,Performance monitor,https://nmon.sourceforge.io/,N/A,Native,C
sar,Monitoring,System activity (sysstat),https://github.com/sysstat/sysstat,3000+,Native,C
iotop,Monitoring,I/O monitoring,https://github.com/Tomas-M/iotop,400+,Native,C
iostat,Monitoring,I/O stats (sysstat),https://github.com/sysstat/sysstat,3000+,Native,C
vmstat,Monitoring,Virtual memory stats,N/A,N/A,Native,C
free,Monitoring,Memory usage,N/A,N/A,Native,C
uptime,Monitoring,System uptime,N/A,N/A,Native,C
dmesg,System,Kernel messages,N/A,N/A,Native,C
journalctl,Logging,Journal viewer,https://systemd.io/,N/A,Native,C
systemctl,System,Systemd control,https://systemd.io/,N/A,Native,C
loginctl,System,Session control,https://systemd.io/,N/A,Native,C
timedatectl,System,Time control,https://systemd.io/,N/A,Native,C
hostnamectl,System,Hostname control,https://systemd.io/,N/A,Native,C
networkctl,System,Network control,https://systemd.io/,N/A,Native,C
coredumpctl,System,Core dump control,https://systemd.io/,N/A,Native,C
machinectl,System,VM/Container control,https://systemd.io/,N/A,Native,C
resolvectl,System,DNS resolve control,https://systemd.io/,N/A,Native,C
busctl,System,D-Bus tool,https://systemd.io/,N/A,Native,C
localectl,System,Locale control,https://systemd.io/,N/A,Native,C
nmcli,Network,NetworkManager CLI,https://networkmanager.dev/,N/A,Native,C
iwctl,Network,iwd wireless CLI,https://iwd.wiki.kernel.org/,N/A,Native,C
bluetoothctl,Bluetooth,Bluetooth control,https://www.bluez.org/,N/A,Native,C
pactl,Audio,PulseAudio control,https://www.freedesktop.org/wiki/Software/PulseAudio/,N/A,Native,C
wpctl,Audio,WirePlumber control,https://pipewire.org/,N/A,Native,C
pw-cli,Audio,PipeWire CLI,https://pipewire.org/,N/A,Native,C
amixer,Audio,ALSA mixer,https://alsa-project.org/,N/A,Native,C
brightnessctl,Display,Brightness control,https://github.com/Hummer12007/brightnessctl,1200+,Native,C
light,Display,Backlight control,https://github.com/haikarainen/light,1000+,Native,C
xbacklight,Display,X11 backlight,https://gitlab.freedesktop.org/xorg/app/xbacklight,N/A,Native,C
redshift,Display,Color temperature,https://github.com/jonls/redshift,6100+,Native,C
gammastep,Display,Wayland color temp,https://gitlab.com/chinstrap/gammastep,900+,Native,C
wlsunset,Display,Wayland day/night gamma,https://sr.ht/~kennylevinsen/wlsunset/,N/A,Native,C
xrandr,Display,X11 display config,https://gitlab.freedesktop.org/xorg/app/xrandr,N/A,Native,C
wlr-randr,Display,Wayland display config,https://sr.ht/~emersion/wlr-randr/,N/A,Native,C
swaymsg,Window Manager,Sway IPC,https://github.com/swaywm/sway,15000+,Native,C
i3-msg,Window Manager,i3 IPC,https://github.com/i3/i3,9500+,Native,C
xdotool,Automation,X11 automation,https://github.com/jordansissel/xdotool,3300+,Native,C
ydotool,Automation,Wayland automation,https://github.com/ReimuNotMoe/ydotool,1400+,Native,C++
wtype,Automation,Wayland typing,https://github.com/atx/wtype,500+,Native,C
wl-clipboard,Clipboard,Wayland clipboard,https://github.com/bugaevc/wl-clipboard,1100+,Native,C
xclip,Clipboard,X11 clipboard,https://github.com/astrand/xclip,1000+,Native,C
xsel,Clipboard,X11 selection,https://github.com/kfish/xsel,400+,Native,C
pbcopy,Clipboard,macOS clipboard,N/A,N/A,Native,C
maim,Screenshot,X11 screenshot,https://github.com/naelstrof/maim,3000+,Native,C++
grim,Screenshot,Wayland screenshot,https://sr.ht/~emersion/grim/,N/A,Native,C
slurp,Selection,Wayland region select,https://github.com/emersion/slurp,600+,Native,C
scrot,Screenshot,X11 screenshot,https://github.com/resurrecting-open-source-projects/scrot,600+,Native,C
flameshot,Screenshot,Screenshot tool,https://github.com/flameshot-org/flameshot,25000+,Native,C++
dunst,Notifications,Notification daemon,https://github.com/dunst-project/dunst,4800+,Native,C
mako,Notifications,Wayland notifications,https://github.com/emersion/mako,1000+,Native,C
fnott,Notifications,Wayland notifications,https://codeberg.org/dnkl/fnott,N/A,Native,C
libnotify,Notifications,Send notifications,https://gitlab.gnome.org/GNOME/libnotify,N/A,Native,C
notify-send,Notifications,Send notifications CLI,https://gitlab.gnome.org/GNOME/libnotify,N/A,Native,C
fcitx5,Input Method,Input method framework,https://github.com/fcitx/fcitx5,3500+,Native,C++
ibus,Input Method,Intelligent Input Bus,https://github.com/ibus/ibus,800+,Native,C
uim,Input Method,Universal Input Method,https://github.com/uim/uim,200+,Native,C
pandoc,Documents,Universal document converter,https://github.com/jgm/pandoc,35500+,Native,Haskell
groff,Documents,GNU troff,https://www.gnu.org/software/groff/,N/A,Native,C++
asciidoctor,Documents,AsciiDoc processor,https://github.com/asciidoctor/asciidoctor,4900+,Native,Ruby
docutils,Documents,reStructuredText processor,https://github.com/docutils-mirror/docutils,400+,Native,Python
sphinx,Documents,Documentation generator,https://github.com/sphinx-doc/sphinx,6700+,Native,Python
mkdocs,Documents,Documentation generator,https://github.com/mkdocs/mkdocs,20000+,Native,Python
mdbook,Documents,Markdown book generator,https://github.com/rust-lang/mdBook,18500+,Native,Rust
gitbook,Documents,Documentation tool,https://github.com/GitbookIO/gitbook,27000+,Native,JavaScript
docsify,Documents,Documentation site generator,https://github.com/docsifyjs/docsify,28500+,Native,JavaScript
vuepress,Documents,Vue-powered documentation,https://github.com/vuejs/vuepress,22500+,Native,JavaScript
docusaurus,Documents,Documentation website tool,https://github.com/facebook/docusaurus,57000+,Native,TypeScript
honkit,Documents,GitBook fork,https://github.com/honkit/honkit,3000+,Native,TypeScript
latex,Documents,TeX typesetting,https://www.latex-project.org/,N/A,Native,C
pdflatex,Documents,PDF from LaTeX,https://www.tug.org/applications/pdftex/,N/A,Native,C
xelatex,Documents,Unicode LaTeX,https://tug.org/xetex/,N/A,Native,C
lualatex,Documents,Lua-based LaTeX,https://www.luatex.org/,N/A,Native,C
latexmk,Documents,LaTeX build tool,https://personal.psu.edu/~jcc8/software/latexmk/,N/A,Native,Perl
biber,Documents,BibTeX replacement,https://github.com/plk/biber,300+,Native,Perl
texlive,Documents,TeX distribution,https://www.tug.org/texlive/,N/A,Native,Various
tectonic,Documents,Modern TeX engine,https://github.com/tectonic-typesetting/tectonic,3500+,Native,Rust
typst,Documents,Modern typesetting,https://github.com/typst/typst,36000+,Native,Rust
groff,Documents,GNU troff,https://www.gnu.org/software/groff/,N/A,Native,C++
enscript,Documents,Text to PostScript,https://www.gnu.org/software/enscript/,N/A,Native,C
a2ps,Documents,Any to PostScript,https://www.gnu.org/software/a2ps/,N/A,Native,C
ghostscript,Documents,PostScript/PDF interpreter,https://www.ghostscript.com/,N/A,Native,C
pdftk,Documents,PDF toolkit,https://www.pdflabs.com/tools/pdftk-the-pdf-toolkit/,N/A,Native,Java
qpdf,Documents,PDF transformation,https://github.com/qpdf/qpdf,3500+,Native,C++
poppler,Documents,PDF rendering library,https://poppler.freedesktop.org/,N/A,Native,C++
pdftotext,Documents,PDF to text,https://poppler.freedesktop.org/,N/A,Native,C++
pdfgrep,Documents,Search PDFs,https://pdfgrep.org/,N/A,Native,C++
ocrmypdf,Documents,OCR PDFs,https://github.com/ocrmypdf/OCRmyPDF,14500+,Native,Python
tesseract,OCR,OCR engine,https://github.com/tesseract-ocr/tesseract,63000+,Native,C++
jp2a,Image Conversion,JPEG to ASCII,https://github.com/cslarsen/jp2a,900+,Native,C
viu,Image Viewer,Terminal image viewer,https://github.com/atanunq/viu,1200+,Native,Rust
timg,Image Viewer,Terminal image viewer,https://github.com/hzeller/timg,1100+,Native,C++
catimg,Image Viewer,Image in terminal,https://github.com/posva/catimg,1100+,Native,C
imgcat,Image Viewer,iTerm2 image display,https://github.com/eddieantonio/imgcat,800+,Native,C
chafa,Image Viewer,Terminal image converter,https://github.com/hpjansson/chafa,2700+,Native,C
ueberzug,Image Viewer,X11 terminal image layers,https://github.com/seebye/ueberzug,1200+,Native,Python
ueberzugpp,Image Viewer,Ueberzug successor,https://github.com/jstkdng/ueberzugpp,700+,Native,C++
termux-api,Mobile,Termux API,https://github.com/termux/termux-api,1000+,Native,Java
termux,Mobile,Android terminal,https://github.com/termux/termux-app,37000+,Native,Java
a-shell,Mobile,iOS terminal,https://github.com/holzschu/a-shell,3500+,Native,Objective-C
iSH,Mobile,Linux shell for iOS,https://github.com/ish-app/ish,17500+,Native,C
play,Playground,TUI test playground,https://github.com/ruivieira/play,100+,Native,Go
termpixels,Graphics,Terminal pixel drawing,https://github.com/loganzartman/termpixels,200+,Native,Python
drawille,Graphics,Terminal pixel drawing,https://github.com/asciimoo/drawille,3100+,Native,Python
termgraph,Graphics,Terminal graphs,https://github.com/mkaz/termgraph,3200+,Native,Python
asciichart,Graphics,ASCII line charts,https://github.com/kroitor/asciichart,1800+,Native,Various
spark,Graphics,Sparklines in shell,https://github.com/holman/spark,5700+,Native,Shell
bashplotlib,Graphics,Bash plotting,https://github.com/glamp/bashplotlib,1800+,Native,Python
gnuplot,Graphics,Plotting program,https://gnuplot.sourceforge.net/,N/A,Native,C
plotext,Graphics,Terminal plotting,https://github.com/piccolomo/plotext,2000+,Native,Python
uniplot,Graphics,Terminal plotting,https://github.com/olavolav/uniplot,300+,Native,Python
youplot,Graphics,CLI plotting,https://github.com/red-data-tools/YouPlot,700+,Native,Ruby
ttyplot,Graphics,Realtime terminal plots,https://github.com/tenox7/ttyplot,1100+,Native,C
histogram.py,Graphics,ASCII histograms,N/A,N/A,Native,Python
cowsay,Fun,Speaking ASCII cow,https://github.com/piuccio/cowsay,1500+,Native,Perl/JS
ponysay,Fun,cowsay with ponies,https://github.com/erkin/ponysay,1200+,Native,Python
boxes,Fun,ASCII art boxes,https://github.com/ascii-boxes/boxes,600+,Native,C
toilet,Fun,Large colorful text,https://github.com/cacalabs/toilet,400+,Native,C
lolcat,Fun,Rainbow coloring,https://github.com/busyloop/lolcat,6200+,Native,Ruby
dotacat,Fun,Dotted rainbow cat,https://github.com/bouzuya/dotacat,50+,Native,Rust
terminal-parrot,Fun,Party parrot,https://github.com/jmhobbs/terminal-parrot,600+,Native,Go
asciimatics,Fun,ASCII animations,https://github.com/peterbrittain/asciimatics,3700+,Native,Python
rich,Text Formatting,Rich text for Python,https://github.com/Textualize/rich,50000+,Native,Python
chalk,Text Formatting,Terminal string styling,https://github.com/chalk/chalk,22000+,Native,JavaScript
colored,Text Formatting,Terminal colors for Rust,https://github.com/mackwic/colored,1700+,Native,Rust
termcolor,Text Formatting,Terminal colors,https://github.com/termcolor/termcolor,400+,Native,Python
colorama,Text Formatting,Windows terminal colors,https://github.com/tartley/colorama,3400+,Native,Python
tput,Terminal,Terminal control,N/A,N/A,Native,C
stty,Terminal,Terminal settings,N/A,N/A,Native,C
tset,Terminal,Terminal initialization,N/A,N/A,Native,C
reset,Terminal,Terminal reset,N/A,N/A,Native,C
clear,Terminal,Clear screen,N/A,N/A,Native,C
tty,Terminal,Print terminal name,N/A,N/A,Native,C
infocmp,Terminal,Terminfo comparison,N/A,N/A,Native,C
tic,Terminal,Terminfo compiler,N/A,N/A,Native,C
toe,Terminal,Table of terminfo entries,N/A,N/A,Native,C
tabs,Terminal,Set terminal tabs,N/A,N/A,Native,C
resize,Terminal,Reset terminal size,N/A,N/A,Native,C
screen,Terminal Multiplexer,GNU Screen,https://www.gnu.org/software/screen/,N/A,Native,C
dtach,Terminal Multiplexer,Simple detach,https://github.com/crigler/dtach,200+,Native,C
abduco,Terminal Multiplexer,Session management,https://github.com/martanne/abduco,400+,Native,C
dvtm,Terminal Multiplexer,dwm for terminals,https://github.com/martanne/dvtm,500+,Native,C
mtm,Terminal Multiplexer,Micro terminal mux,https://github.com/deadpixi/mtm,500+,Native,C
byobu,Terminal Multiplexer,Screen/tmux wrapper,https://github.com/dustinkirkland/byobu,1900+,Native,Python
reptyr,Terminal,Move process to new terminal,https://github.com/nelhage/reptyr,5700+,Native,C
script,Terminal,Record terminal session,N/A,N/A,Native,C
scriptreplay,Terminal,Replay terminal session,N/A,N/A,Native,C
ttyrec,Terminal Recording,Terminal recorder,https://github.com/mjording/ttyrec,100+,Native,C
ttyrecord,Terminal Recording,Modern ttyrec,https://github.com/KrystianLis/ttyrecord,50+,Native,Rust
termrec,Terminal Recording,Terminal recorder,https://github.com/thestinger/termrec,100+,Native,C
gotty,Terminal Sharing,Share terminal as web app,https://github.com/sorenisanerd/gotty,18500+,Native,Go
tmate,Terminal Sharing,Instant terminal sharing,https://github.com/tmate-io/tmate,5700+,Native,C
teleconsole,Terminal Sharing,Secure terminal sharing,https://github.com/gravitational/teleconsole,3200+,Native,Go
upterm,Terminal Sharing,Secure terminal sharing,https://github.com/owenthereal/upterm,800+,Native,Go
websocat,WebSocket,WebSocket CLI,https://github.com/vi/websocat,7200+,Native,Rust
wscat,WebSocket,WebSocket client,https://github.com/websockets/wscat,2200+,Native,JavaScript
wsta,WebSocket,WebSocket tool,https://github.com/esphen/wsta,500+,Native,Rust
webcat,HTTP,Request tool,N/A,N/A,Native,Various
openssl,Crypto,Crypto toolkit,https://github.com/openssl/openssl,26000+,Native,C
gpg,Crypto,GNU Privacy Guard,https://gnupg.org/,N/A,Native,C
gpg-agent,Crypto,GPG agent,https://gnupg.org/,N/A,Native,C
ssh-agent,Crypto,SSH agent,https://www.openssh.com/,N/A,Native,C
ssh-keygen,Crypto,SSH key generation,https://www.openssh.com/,N/A,Native,C
ssh-copy-id,Crypto,SSH key installation,https://www.openssh.com/,N/A,Native,Shell
keychain,Crypto,SSH/GPG agent manager,https://github.com/funtoo/keychain,1100+,Native,Shell
pwgen,Password,Password generator,https://github.com/jbernard/pwgen,200+,Native,C
apg,Password,Password generator,https://github.com/wilx/apg,100+,Native,C
diceware,Password,Passphrase generator,https://github.com/ulif/diceware,500+,Native,Python
xkcdpass,Password,XKCD-style passwords,https://github.com/redacted/XKCD-password-generator,1000+,Native,Python
bitwarden-cli,Password Manager,Bitwarden CLI,https://github.com/bitwarden/clients,9500+,Native,TypeScript
rbw,Password Manager,Bitwarden CLI,https://github.com/doy/rbw,700+,Native,Rust
1password-cli,Password Manager,1Password CLI,https://1password.com/downloads/command-line/,N/A,Native,Go
lastpass-cli,Password Manager,LastPass CLI,https://github.com/lastpass/lastpass-cli,2000+,Native,C
keepassxc-cli,Password Manager,KeePassXC CLI,https://github.com/keepassxreboot/keepassxc,21500+,Native,C++
dashlane-cli,Password Manager,Dashlane CLI,https://github.com/Dashlane/dashlane-cli,300+,Native,TypeScript
vault,Secrets,HashiCorp Vault,https://github.com/hashicorp/vault,31500+,Native,Go
consul,Service Discovery,HashiCorp Consul,https://github.com/hashicorp/consul,28500+,Native,Go
etcd,Key-Value Store,Distributed KV store,https://github.com/etcd-io/etcd,48000+,Native,Go
redis-cli,Database,Redis CLI,https://github.com/redis/redis,67000+,Native,C
mongo,Database,MongoDB shell,https://github.com/mongodb/mongo,26500+,Native,C++
psql,Database,PostgreSQL CLI,https://www.postgresql.org/,N/A,Native,C
mysql,Database,MySQL CLI,https://github.com/mysql/mysql-server,10800+,Native,C++
sqlite3,Database,SQLite CLI,https://sqlite.org/,N/A,Native,C
usql,Database,Universal database CLI,https://github.com/xo/usql,9000+,Native,Go
dbmate,Database,Database migrations,https://github.com/amacneil/dbmate,5500+,Native,Go
migrate,Database,Database migrations,https://github.com/golang-migrate/migrate,15500+,Native,Go
flyway,Database,Database migrations,https://github.com/flyway/flyway,8300+,Native,Java
liquibase,Database,Database schema change,https://github.com/liquibase/liquibase,4800+,Native,Java
sqitch,Database,Database change management,https://sqitch.org/,N/A,Native,Perl
gh,GitHub,GitHub CLI,https://github.com/cli/cli,37500+,Native,Go
hub,GitHub,GitHub wrapper,https://github.com/github/hub,22800+,Native,Go
glab,GitLab,GitLab CLI,https://github.com/profclems/glab,2300+,Native,Go
git-bug,Git,Bug tracker in git,https://github.com/MichaelMure/git-bug,8200+,Native,Go
git-lfs,Git,Git Large File Storage,https://github.com/git-lfs/git-lfs,13000+,Native,Go
git-annex,Git,Manage files with git,https://git-annex.branchable.com/,N/A,Native,Haskell
git-secret,Git,Store secrets in git,https://github.com/sobolevn/git-secret,3700+,Native,Shell
git-filter-repo,Git,Rewrite git history,https://github.com/newren/git-filter-repo,8500+,Native,Python
bfg,Git,Remove large files from git,https://github.com/rtyley/bfg-repo-cleaner,11200+,Native,Scala
pre-commit,Git,Git hooks framework,https://github.com/pre-commit/pre-commit,13000+,Native,Python
lefthook,Git,Git hooks manager,https://github.com/evilmartians/lefthook,5500+,Native,Go
husky,Git,Git hooks for Node.js,https://github.com/typicode/husky,32500+,Native,TypeScript
commitizen,Git,Conventional commits,https://github.com/commitizen/cz-cli,17500+,Native,JavaScript
cz-cli,Git,Commitizen CLI,https://github.com/commitizen/cz-cli,17500+,Native,JavaScript
conventional-changelog,Git,Changelog from commits,https://github.com/conventional-changelog/conventional-changelog,7900+,Native,JavaScript
semantic-release,Git,Automated versioning,https://github.com/semantic-release/semantic-release,21500+,Native,JavaScript
release-please,Git,Release automation,https://github.com/googleapis/release-please,8500+,Native,TypeScript
goreleaser,Go,Release automation,https://github.com/goreleaser/goreleaser,14000+,Native,Go
cargo-release,Rust,Release automation,https://github.com/crate-ci/cargo-release,1500+,Native,Rust
npm-check-updates,Node.js,Update dependencies,https://github.com/raineorshine/npm-check-updates,9500+,Native,JavaScript
ncu,Node.js,npm-check-updates alias,https://github.com/raineorshine/npm-check-updates,9500+,Native,JavaScript
depcheck,Node.js,Dependency checker,https://github.com/depcheck/depcheck,4200+,Native,JavaScript
snyk,Security,Vulnerability scanner,https://github.com/snyk/cli,5000+,Native,TypeScript
dependabot,Security,Dependency updates,https://github.com/dependabot/dependabot-core,4700+,Native,Ruby
renovate,Security,Dependency updates,https://github.com/renovatebot/renovate,18000+,Native,TypeScript
clair,Security,Container vulnerability scanner,https://github.com/quay/clair,10500+,Native,Go
cosign,Security,Container signing,https://github.com/sigstore/cosign,4700+,Native,Go
schemathesis,Testing,API testing,https://github.com/schemathesis/schemathesis,2300+,Native,Python
dredd,Testing,API testing,https://github.com/apiaryio/dredd,4200+,Native,JavaScript
vegeta,Testing,HTTP load testing,https://github.com/tsenart/vegeta,23500+,Native,Go
hey,Testing,HTTP load generator,https://github.com/rakyll/hey,18000+,Native,Go
wrk,Testing,HTTP benchmarking,https://github.com/wg/wrk,38000+,Native,C
k6,Testing,Load testing,https://github.com/grafana/k6,26500+,Native,Go
locust,Testing,Load testing,https://github.com/locustio/locust,25500+,Native,Python
artillery,Testing,Load testing,https://github.com/artilleryio/artillery,8200+,Native,JavaScript
ab,Testing,Apache Bench,https://httpd.apache.org/,N/A,Native,C
siege,Testing,HTTP load testing,https://github.com/JoeDog/siege,5800+,Native,C
autocannon,Testing,HTTP benchmarking,https://github.com/mcollina/autocannon,7800+,Native,JavaScript
bombardier,Testing,HTTP benchmarking,https://github.com/codesenberg/bombardier,6000+,Native,Go
plow,Testing,HTTP benchmarking,https://github.com/six-ddc/plow,4200+,Native,Go
httpstat,Testing,HTTP stats,https://github.com/reorx/httpstat,5700+,Native,Python
goreplay,Testing,HTTP traffic replay,https://github.com/buger/goreplay,18500+,Native,Go
mitmproxy,Testing,HTTP/HTTPS proxy,https://github.com/mitmproxy/mitmproxy,37000+,Native,Python
charles,Testing,HTTP proxy (GUI but scriptable),https://www.charlesproxy.com/,N/A,Native,Java
